Year,Sex,Age_Group,Education_Level,State,Number_Individuals
2023,Female,45-64,High school graduate (includes equivalency),Massachusetts,191381
2023,Female,45-64,"Some college, no degree",Massachusetts,127036
2023,Female,45-64,Associate's degree,Massachusetts,87092
2023,Female,45-64,Bachelor's degree,Massachusetts,226996
2023,Female,45-64,Graduate or professional degree,Massachusetts,211452
2023,Female,65 and older,Less than 9th grade,Massachusetts,53527
2023,Female,65 and older,"9th to 12th grade, no diploma",Massachusetts,33514
2023,Female,65 and older,High school graduate (includes equivalency),Massachusetts,198886
2023,Female,65 and older,"Some college, no degree",Massachusetts,105883
2023,Female,65 and older,Associate's degree,Massachusetts,70880
2023,Female,65 and older,Bachelor's degree,Massachusetts,125971
2023,Female,65 and older,Graduate or professional degree,Massachusetts,129894
2018,Male,18-24,Less than 9th grade,Michigan,7887
2018,Male,18-24,"9th to 12th grade, no diploma",Michigan,64148
2018,Male,18-24,High school graduate (includes equivalency),Michigan,161638
2018,Male,18-24,"Some college, no degree",Michigan,189029
2018,Male,18-24,Associate's degree,Michigan,20869
2018,Male,18-24,Bachelor's degree,Michigan,42885
2018,Male,18-24,Graduate or professional degree,Michigan,4677
2018,Male,25-34,Less than 9th grade,Michigan,11091
2018,Male,25-34,"9th to 12th grade, no diploma",Michigan,43025
2018,Male,25-34,High school graduate (includes equivalency),Michigan,179688
2018,Male,25-34,"Some college, no degree",Michigan,169365
2018,Male,25-34,Associate's degree,Michigan,51505
2018,Male,25-34,Bachelor's degree,Michigan,147615
2018,Male,25-34,Graduate or professional degree,Michigan,56764
2018,Male,35-44,Less than 9th grade,Michigan,16399
2018,Male,35-44,"9th to 12th grade, no diploma",Michigan,39040
2018,Male,35-44,High school graduate (includes equivalency),Michigan,160944
2018,Male,35-44,"Some college, no degree",Michigan,132450
2018,Male,35-44,Associate's degree,Michigan,48705
2018,Male,35-44,Bachelor's degree,Michigan,108187
2018,Male,35-44,Graduate or professional degree,Michigan,73554
2018,Male,45-64,Less than 9th grade,Michigan,34430
2018,Male,45-64,"9th to 12th grade, no diploma",Michigan,85342
2018,Male,45-64,High school graduate (includes equivalency),Michigan,429380
2018,Male,45-64,"Some college, no degree",Michigan,296068
2018,Male,45-64,Associate's degree,Michigan,113592
2018,Male,45-64,Bachelor's degree,Michigan,214063
2018,Male,45-64,Graduate or professional degree,Michigan,145920
2018,Male,65 and older,Less than 9th grade,Michigan,35022
2018,Male,65 and older,"9th to 12th grade, no diploma",Michigan,55375
2018,Male,65 and older,High school graduate (includes equivalency),Michigan,226639
2018,Male,65 and older,"Some college, no degree",Michigan,172669
2018,Male,65 and older,Associate's degree,Michigan,56315
2018,Male,65 and older,Bachelor's degree,Michigan,116903
2018,Male,65 and older,Graduate or professional degree,Michigan,106280
2018,Female,18-24,Less than 9th grade,Michigan,5321
2018,Female,18-24,"9th to 12th grade, no diploma",Michigan,41970
2018,Female,18-24,High school graduate (includes equivalency),Michigan,137822
2018,Female,18-24,"Some college, no degree",Michigan,201211
2018,Female,18-24,Associate's degree,Michigan,24702
2018,Female,18-24,Bachelor's degree,Michigan,55619
2018,Female,18-24,Graduate or professional degree,Michigan,4026
2018,Female,25-34,Less than 9th grade,Michigan,9580
2018,Female,25-34,"9th to 12th grade, no diploma",Michigan,33456
2018,Female,25-34,High school graduate (includes equivalency),Michigan,127301
2018,Female,25-34,"Some college, no degree",Michigan,162958
2018,Female,25-34,Associate's degree,Michigan,68720
2018,Female,25-34,Bachelor's degree,Michigan,162238
2018,Female,25-34,Graduate or professional degree,Michigan,68047
2018,Female,35-44,Less than 9th grade,Michigan,14019
2018,Female,35-44,"9th to 12th grade, no diploma",Michigan,31589
2018,Female,35-44,High school graduate (includes equivalency),Michigan,109604
2018,Female,35-44,"Some college, no degree",Michigan,129741
2018,Female,35-44,Associate's degree,Michigan,74840
2018,Female,35-44,Bachelor's degree,Michigan,130433
2018,Female,35-44,Graduate or professional degree,Michigan,96057
2018,Female,45-64,Less than 9th grade,Michigan,29579
2018,Female,45-64,"9th to 12th grade, no diploma",Michigan,67323
2018,Female,45-64,High school graduate (includes equivalency),Michigan,376851
2018,Female,45-64,"Some college, no degree",Michigan,325117
2018,Female,45-64,Associate's degree,Michigan,171515
2018,Female,45-64,Bachelor's degree,Michigan,248990
2018,Female,45-64,Graduate or professional degree,Michigan,154308
2018,Female,65 and older,Less than 9th grade,Michigan,39771
2018,Female,65 and older,"9th to 12th grade, no diploma",Michigan,67383
2018,Female,65 and older,High school graduate (includes equivalency),Michigan,362448
2018,Female,65 and older,"Some college, no degree",Michigan,206579
2018,Female,65 and older,Associate's degree,Michigan,72535
2018,Female,65 and older,Bachelor's degree,Michigan,110822
2018,Female,65 and older,Graduate or professional degree,Michigan,91712
2019,Male,18-24,Less than 9th grade,Michigan,9236
2019,Male,18-24,"9th to 12th grade, no diploma",Michigan,59960
2019,Male,18-24,High school graduate (includes equivalency),Michigan,172969
2019,Male,18-24,"Some college, no degree",Michigan,171808
2019,Male,18-24,Associate's degree,Michigan,21274
2019,Male,18-24,Bachelor's degree,Michigan,43021
2019,Male,18-24,Graduate or professional degree,Michigan,4354
2019,Male,25-34,Less than 9th grade,Michigan,13798
2019,Male,25-34,"9th to 12th grade, no diploma",Michigan,38947
2019,Male,25-34,High school graduate (includes equivalency),Michigan,187769
2019,Male,25-34,"Some college, no degree",Michigan,166388
2019,Male,25-34,Associate's degree,Michigan,54558
2019,Male,25-34,Bachelor's degree,Michigan,147599
2019,Male,25-34,Graduate or professional degree,Michigan,55879
2019,Male,35-44,Less than 9th grade,Michigan,14769
2019,Male,35-44,"9th to 12th grade, no diploma",Michigan,39316
2019,Male,35-44,High school graduate (includes equivalency),Michigan,169839
2019,Male,35-44,"Some college, no degree",Michigan,128635
2019,Male,35-44,Associate's degree,Michigan,47434
2019,Male,35-44,Bachelor's degree,Michigan,114553
2019,Male,35-44,Graduate or professional degree,Michigan,68465
2019,Male,45-64,Less than 9th grade,Michigan,31508
2019,Male,45-64,"9th to 12th grade, no diploma",Michigan,82790
2019,Male,45-64,High school graduate (includes equivalency),Michigan,413092
2019,Male,45-64,"Some college, no degree",Michigan,298535
2019,Male,45-64,Associate's degree,Michigan,110289
2019,Male,45-64,Bachelor's degree,Michigan,215006
2019,Male,45-64,Graduate or professional degree,Michigan,146801
2019,Male,65 and older,Less than 9th grade,Michigan,30855
2019,Male,65 and older,"9th to 12th grade, no diploma",Michigan,52652
2019,Male,65 and older,High school graduate (includes equivalency),Michigan,239279
2019,Male,65 and older,"Some college, no degree",Michigan,177810
2019,Male,65 and older,Associate's degree,Michigan,57830
2019,Male,65 and older,Bachelor's degree,Michigan,118855
2019,Male,65 and older,Graduate or professional degree,Michigan,115034
2019,Female,18-24,Less than 9th grade,Michigan,6587
2019,Female,18-24,"9th to 12th grade, no diploma",Michigan,44416
2019,Female,18-24,High school graduate (includes equivalency),Michigan,135058
2019,Female,18-24,"Some college, no degree",Michigan,190434
2019,Female,18-24,Associate's degree,Michigan,27625
2019,Female,18-24,Bachelor's degree,Michigan,58396
2019,Female,18-24,Graduate or professional degree,Michigan,4270
2019,Female,25-34,Less than 9th grade,Michigan,12538
2019,Female,25-34,"9th to 12th grade, no diploma",Michigan,28081
2019,Female,25-34,High school graduate (includes equivalency),Michigan,133804
2019,Female,25-34,"Some college, no degree",Michigan,160380
2019,Female,25-34,Associate's degree,Michigan,63615
2019,Female,25-34,Bachelor's degree,Michigan,159232
2019,Female,25-34,Graduate or professional degree,Michigan,79429
2019,Female,35-44,Less than 9th grade,Michigan,16046
2019,Female,35-44,"9th to 12th grade, no diploma",Michigan,31254
2019,Female,35-44,High school graduate (includes equivalency),Michigan,117420
2019,Female,35-44,"Some college, no degree",Michigan,128838
2019,Female,35-44,Associate's degree,Michigan,71238
2019,Female,35-44,Bachelor's degree,Michigan,133229
2019,Female,35-44,Graduate or professional degree,Michigan,92993
2019,Female,45-64,Less than 9th grade,Michigan,29732
2019,Female,45-64,"9th to 12th grade, no diploma",Michigan,65015
2019,Female,45-64,High school graduate (includes equivalency),Michigan,376338
2019,Female,45-64,"Some college, no degree",Michigan,306508
2019,Female,45-64,Associate's degree,Michigan,169220
2019,Female,45-64,Bachelor's degree,Michigan,249412
2019,Female,45-64,Graduate or professional degree,Michigan,157926
2019,Female,65 and older,Less than 9th grade,Michigan,36789
2019,Female,65 and older,"9th to 12th grade, no diploma",Michigan,72197
2019,Female,65 and older,High school graduate (includes equivalency),Michigan,368440
2019,Female,65 and older,"Some college, no degree",Michigan,205676
2019,Female,65 and older,Associate's degree,Michigan,74610
2019,Female,65 and older,Bachelor's degree,Michigan,114799
2019,Female,65 and older,Graduate or professional degree,Michigan,101583
2021,Male,18-24,Less than 9th grade,Michigan,6470
2021,Male,18-24,"9th to 12th grade, no diploma",Michigan,58711
2021,Male,18-24,High school graduate (includes equivalency),Michigan,179739
2021,Male,18-24,"Some college, no degree",Michigan,154201
2021,Male,18-24,Associate's degree,Michigan,23804
2021,Male,18-24,Bachelor's degree,Michigan,45777
2021,Male,18-24,Graduate or professional degree,Michigan,2031
2021,Male,25-34,Less than 9th grade,Michigan,15049
2021,Male,25-34,"9th to 12th grade, no diploma",Michigan,39351
2021,Male,25-34,High school graduate (includes equivalency),Michigan,196379
2021,Male,25-34,"Some college, no degree",Michigan,155322
2021,Male,25-34,Associate's degree,Michigan,54301
2021,Male,25-34,Bachelor's degree,Michigan,152576
2021,Male,25-34,Graduate or professional degree,Michigan,58529
2021,Male,35-44,Less than 9th grade,Michigan,16805
2021,Male,35-44,"9th to 12th grade, no diploma",Michigan,36944
2021,Male,35-44,High school graduate (includes equivalency),Michigan,170175
2021,Male,35-44,"Some college, no degree",Michigan,131937
2021,Male,35-44,Associate's degree,Michigan,52130
2021,Male,35-44,Bachelor's degree,Michigan,122707
2021,Male,35-44,Graduate or professional degree,Michigan,76949
2021,Male,45-64,Less than 9th grade,Michigan,32904
2021,Male,45-64,"9th to 12th grade, no diploma",Michigan,81432
2021,Male,45-64,High school graduate (includes equivalency),Michigan,403328
2021,Male,45-64,"Some college, no degree",Michigan,278356
2021,Male,45-64,Associate's degree,Michigan,121439
2021,Male,45-64,Bachelor's degree,Michigan,228171
2021,Male,45-64,Graduate or professional degree,Michigan,152244
2021,Male,65 and older,Less than 9th grade,Michigan,24986
2021,Male,65 and older,"9th to 12th grade, no diploma",Michigan,53563
2021,Male,65 and older,High school graduate (includes equivalency),Michigan,252162
2021,Male,65 and older,"Some college, no degree",Michigan,187939
2021,Male,65 and older,Associate's degree,Michigan,63452
2021,Male,65 and older,Bachelor's degree,Michigan,126811
2021,Male,65 and older,Graduate or professional degree,Michigan,119610
2021,Female,18-24,Less than 9th grade,Michigan,5089
2021,Female,18-24,"9th to 12th grade, no diploma",Michigan,38100
2021,Female,18-24,High school graduate (includes equivalency),Michigan,139159
2021,Female,18-24,"Some college, no degree",Michigan,183293
2021,Female,18-24,Associate's degree,Michigan,25623
2021,Female,18-24,Bachelor's degree,Michigan,60822
2021,Female,18-24,Graduate or professional degree,Michigan,4160
2021,Female,25-34,Less than 9th grade,Michigan,12371
2021,Female,25-34,"9th to 12th grade, no diploma",Michigan,27895
2021,Female,25-34,High school graduate (includes equivalency),Michigan,139764
2021,Female,25-34,"Some college, no degree",Michigan,141023
2021,Female,25-34,Associate's degree,Michigan,64206
2021,Female,25-34,Bachelor's degree,Michigan,174293
2021,Female,25-34,Graduate or professional degree,Michigan,83295
2021,Female,35-44,Less than 9th grade,Michigan,12293
2021,Female,35-44,"9th to 12th grade, no diploma",Michigan,28475
2021,Female,35-44,High school graduate (includes equivalency),Michigan,117570
2021,Female,35-44,"Some college, no degree",Michigan,127340
2021,Female,35-44,Associate's degree,Michigan,70788
2021,Female,35-44,Bachelor's degree,Michigan,146329
2021,Female,35-44,Graduate or professional degree,Michigan,104132
2021,Female,45-64,Less than 9th grade,Michigan,31544
2021,Female,45-64,"9th to 12th grade, no diploma",Michigan,58998
2021,Female,45-64,High school graduate (includes equivalency),Michigan,355365
2021,Female,45-64,"Some college, no degree",Michigan,282536
2021,Female,45-64,Associate's degree,Michigan,164758
2021,Female,45-64,Bachelor's degree,Michigan,257632
2021,Female,45-64,Graduate or professional degree,Michigan,170976
2021,Female,65 and older,Less than 9th grade,Michigan,28877
2021,Female,65 and older,"9th to 12th grade, no diploma",Michigan,58811
2021,Female,65 and older,High school graduate (includes equivalency),Michigan,368522
2021,Female,65 and older,"Some college, no degree",Michigan,215386
2021,Female,65 and older,Associate's degree,Michigan,89249
2021,Female,65 and older,Bachelor's degree,Michigan,129643
2021,Female,65 and older,Graduate or professional degree,Michigan,104273
2022,Male,18-24,Less than 9th grade,Michigan,7981
2022,Male,18-24,"9th to 12th grade, no diploma",Michigan,58482
2022,Male,18-24,High school graduate (includes equivalency),Michigan,188020
2022,Male,18-24,"Some college, no degree",Michigan,157257
2022,Male,18-24,Associate's degree,Michigan,21569
2022,Male,18-24,Bachelor's degree,Michigan,48140
2022,Male,18-24,Graduate or professional degree,Michigan,3122
2022,Male,25-34,Less than 9th grade,Michigan,17145
2022,Male,25-34,"9th to 12th grade, no diploma",Michigan,38822
2022,Male,25-34,High school graduate (includes equivalency),Michigan,189093
2022,Male,25-34,"Some college, no degree",Michigan,155712
2022,Male,25-34,Associate's degree,Michigan,53803
2022,Male,25-34,Bachelor's degree,Michigan,161560
2022,Male,25-34,Graduate or professional degree,Michigan,58781
2022,Male,35-44,Less than 9th grade,Michigan,18572
2022,Male,35-44,"9th to 12th grade, no diploma",Michigan,36454
2022,Male,35-44,High school graduate (includes equivalency),Michigan,167358
2022,Male,35-44,"Some college, no degree",Michigan,129903
2022,Male,35-44,Associate's degree,Michigan,56784
2022,Male,35-44,Bachelor's degree,Michigan,125973
2022,Male,35-44,Graduate or professional degree,Michigan,80609
2022,Male,45-64,Less than 9th grade,Michigan,32944
2022,Male,45-64,"9th to 12th grade, no diploma",Michigan,78016
2022,Male,45-64,High school graduate (includes equivalency),Michigan,395135
2022,Male,45-64,"Some college, no degree",Michigan,272912
2022,Male,45-64,Associate's degree,Michigan,114725
2022,Male,45-64,Bachelor's degree,Michigan,222938
2022,Male,45-64,Graduate or professional degree,Michigan,158212
2022,Male,65 and older,Less than 9th grade,Michigan,24649
2022,Male,65 and older,"9th to 12th grade, no diploma",Michigan,54869
2022,Male,65 and older,High school graduate (includes equivalency),Michigan,252765
2022,Male,65 and older,"Some college, no degree",Michigan,192704
2022,Male,65 and older,Associate's degree,Michigan,67867
2022,Male,65 and older,Bachelor's degree,Michigan,136722
2022,Male,65 and older,Graduate or professional degree,Michigan,119616
2022,Female,18-24,Less than 9th grade,Michigan,5433
2022,Female,18-24,"9th to 12th grade, no diploma",Michigan,37620
2022,Female,18-24,High school graduate (includes equivalency),Michigan,158092
2022,Female,18-24,"Some college, no degree",Michigan,173319
2022,Female,18-24,Associate's degree,Michigan,27481
2022,Female,18-24,Bachelor's degree,Michigan,56922
2022,Female,18-24,Graduate or professional degree,Michigan,5500
2022,Female,25-34,Less than 9th grade,Michigan,11604
2022,Female,25-34,"9th to 12th grade, no diploma",Michigan,30252
2022,Female,25-34,High school graduate (includes equivalency),Michigan,134175
2022,Female,25-34,"Some college, no degree",Michigan,147414
2022,Female,25-34,Associate's degree,Michigan,63836
2022,Female,25-34,Bachelor's degree,Michigan,168957
2022,Female,25-34,Graduate or professional degree,Michigan,84219
2022,Female,35-44,Less than 9th grade,Michigan,15616
2022,Female,35-44,"9th to 12th grade, no diploma",Michigan,24737
2022,Female,35-44,High school graduate (includes equivalency),Michigan,120807
2022,Female,35-44,"Some college, no degree",Michigan,126565
2022,Female,35-44,Associate's degree,Michigan,70977
2022,Female,35-44,Bachelor's degree,Michigan,144274
2022,Female,35-44,Graduate or professional degree,Michigan,100579
2022,Female,45-64,Less than 9th grade,Michigan,31973
2022,Female,45-64,"9th to 12th grade, no diploma",Michigan,57069
2022,Female,45-64,High school graduate (includes equivalency),Michigan,332288
2022,Female,45-64,"Some college, no degree",Michigan,285662
2022,Female,45-64,Associate's degree,Michigan,158439
2022,Female,45-64,Bachelor's degree,Michigan,258347
2022,Female,45-64,Graduate or professional degree,Michigan,168149
2022,Female,65 and older,Less than 9th grade,Michigan,34105
2022,Female,65 and older,"9th to 12th grade, no diploma",Michigan,62895
2022,Female,65 and older,High school graduate (includes equivalency),Michigan,370724
2022,Female,65 and older,"Some college, no degree",Michigan,220260
2022,Female,65 and older,Associate's degree,Michigan,87470
2022,Female,65 and older,Bachelor's degree,Michigan,142368
2022,Female,65 and older,Graduate or professional degree,Michigan,110548
2023,Male,18-24,Less than 9th grade,Michigan,7782
2023,Male,18-24,"9th to 12th grade, no diploma",Michigan,58435
2023,Male,18-24,High school graduate (includes equivalency),Michigan,183224
2023,Male,18-24,"Some college, no degree",Michigan,149670
2023,Male,18-24,Associate's degree,Michigan,19351
2023,Male,18-24,Bachelor's degree,Michigan,45471
2023,Male,18-24,Graduate or professional degree,Michigan,3268
2023,Male,25-34,Less than 9th grade,Michigan,14053
2023,Male,25-34,"9th to 12th grade, no diploma",Michigan,39462
2023,Male,25-34,High school graduate (includes equivalency),Michigan,197129
2023,Male,25-34,"Some college, no degree",Michigan,146541
2023,Male,25-34,Associate's degree,Michigan,51880
2023,Male,25-34,Bachelor's degree,Michigan,164471
2023,Male,25-34,Graduate or professional degree,Michigan,57815
2023,Male,35-44,Less than 9th grade,Michigan,18173
2023,Male,35-44,"9th to 12th grade, no diploma",Michigan,37616
2023,Male,35-44,High school graduate (includes equivalency),Michigan,161195
2023,Male,35-44,"Some college, no degree",Michigan,134305
2023,Male,35-44,Associate's degree,Michigan,53027
2023,Male,35-44,Bachelor's degree,Michigan,130062
2023,Male,35-44,Graduate or professional degree,Michigan,80135
2023,Male,45-64,Less than 9th grade,Michigan,35795
2023,Male,45-64,"9th to 12th grade, no diploma",Michigan,77375
2023,Male,45-64,High school graduate (includes equivalency),Michigan,372960
2023,Male,45-64,"Some college, no degree",Michigan,270318
2023,Male,45-64,Associate's degree,Michigan,109445
2023,Male,45-64,Bachelor's degree,Michigan,230305
2023,Male,45-64,Graduate or professional degree,Michigan,155760
2023,Male,65 and older,Less than 9th grade,Michigan,27573
2023,Male,65 and older,"9th to 12th grade, no diploma",Michigan,55854
2023,Male,65 and older,High school graduate (includes equivalency),Michigan,271341
2023,Male,65 and older,"Some college, no degree",Michigan,192966
2023,Male,65 and older,Associate's degree,Michigan,71189
2023,Male,65 and older,Bachelor's degree,Michigan,141719
2023,Male,65 and older,Graduate or professional degree,Michigan,121617
2023,Female,18-24,Less than 9th grade,Michigan,7259
2023,Female,18-24,"9th to 12th grade, no diploma",Michigan,39596
2023,Female,18-24,High school graduate (includes equivalency),Michigan,149991
2023,Female,18-24,"Some college, no degree",Michigan,160823
2023,Female,18-24,Associate's degree,Michigan,26695
2023,Female,18-24,Bachelor's degree,Michigan,60815
2023,Female,18-24,Graduate or professional degree,Michigan,6554
2023,Female,25-34,Less than 9th grade,Michigan,10397
2023,Female,25-34,"9th to 12th grade, no diploma",Michigan,25187
2023,Female,25-34,High school graduate (includes equivalency),Michigan,136517
2023,Female,25-34,"Some college, no degree",Michigan,139806
2023,Female,25-34,Associate's degree,Michigan,66816
2023,Female,25-34,Bachelor's degree,Michigan,182406
2023,Female,25-34,Graduate or professional degree,Michigan,81872
2023,Female,35-44,Less than 9th grade,Michigan,15343
2023,Female,35-44,"9th to 12th grade, no diploma",Michigan,27718
2023,Female,35-44,High school graduate (includes equivalency),Michigan,108718
2023,Female,35-44,"Some college, no degree",Michigan,132209
2023,Female,35-44,Associate's degree,Michigan,69511
2023,Female,35-44,Bachelor's degree,Michigan,154861
2023,Female,35-44,Graduate or professional degree,Michigan,106580
2023,Female,45-64,Less than 9th grade,Michigan,31814
2023,Female,45-64,"9th to 12th grade, no diploma",Michigan,54598
2023,Female,45-64,High school graduate (includes equivalency),Michigan,326077
2023,Female,45-64,"Some college, no degree",Michigan,285065
2023,Female,45-64,Associate's degree,Michigan,156147
2023,Female,45-64,Bachelor's degree,Michigan,249791
2023,Female,45-64,Graduate or professional degree,Michigan,176376
2023,Female,65 and older,Less than 9th grade,Michigan,31770
2023,Female,65 and older,"9th to 12th grade, no diploma",Michigan,55649
2023,Female,65 and older,High school graduate (includes equivalency),Michigan,367985
2023,Female,65 and older,"Some college, no degree",Michigan,239199
2023,Female,65 and older,Associate's degree,Michigan,99271
2023,Female,65 and older,Bachelor's degree,Michigan,141571
2023,Female,65 and older,Graduate or professional degree,Michigan,114521
2018,Male,18-24,Less than 9th grade,Minnesota,3911
2018,Male,18-24,"9th to 12th grade, no diploma",Minnesota,31943
2018,Male,18-24,High school graduate (includes equivalency),Minnesota,82294
2018,Male,18-24,"Some college, no degree",Minnesota,92407
2018,Male,18-24,Associate's degree,Minnesota,15391
2018,Male,18-24,Bachelor's degree,Minnesota,27266
2018,Male,18-24,Graduate or professional degree,Minnesota,1182
2018,Male,25-34,Less than 9th grade,Minnesota,6179
2018,Male,25-34,"9th to 12th grade, no diploma",Minnesota,17957
2018,Male,25-34,High school graduate (includes equivalency),Minnesota,84996
2018,Male,25-34,"Some college, no degree",Minnesota,82427
2018,Male,25-34,Associate's degree,Minnesota,48835
2018,Male,25-34,Bachelor's degree,Minnesota,112546
2018,Male,25-34,Graduate or professional degree,Minnesota,34306
2018,Male,35-44,Less than 9th grade,Minnesota,9537
2018,Male,35-44,"9th to 12th grade, no diploma",Minnesota,19857
2018,Male,35-44,High school graduate (includes equivalency),Minnesota,77755
2018,Male,35-44,"Some college, no degree",Minnesota,72566
2018,Male,35-44,Associate's degree,Minnesota,47802
2018,Male,35-44,Bachelor's degree,Minnesota,86973
2018,Male,35-44,Graduate or professional degree,Minnesota,47225
2018,Male,45-64,Less than 9th grade,Minnesota,17777
2018,Male,45-64,"9th to 12th grade, no diploma",Minnesota,30657
2018,Male,45-64,High school graduate (includes equivalency),Minnesota,194616
2018,Male,45-64,"Some college, no degree",Minnesota,152864
2018,Male,45-64,Associate's degree,Minnesota,83867
2018,Male,45-64,Bachelor's degree,Minnesota,158357
2018,Male,45-64,Graduate or professional degree,Minnesota,82460
2018,Male,65 and older,Less than 9th grade,Minnesota,15396
2018,Male,65 and older,"9th to 12th grade, no diploma",Minnesota,19890
2018,Male,65 and older,High school graduate (includes equivalency),Minnesota,119281
2018,Male,65 and older,"Some college, no degree",Minnesota,83026
2018,Male,65 and older,Associate's degree,Minnesota,25861
2018,Male,65 and older,Bachelor's degree,Minnesota,78477
2018,Male,65 and older,Graduate or professional degree,Minnesota,61123
2018,Female,18-24,Less than 9th grade,Minnesota,1805
2018,Female,18-24,"9th to 12th grade, no diploma",Minnesota,23044
2018,Female,18-24,High school graduate (includes equivalency),Minnesota,60321
2018,Female,18-24,"Some college, no degree",Minnesota,100432
2018,Female,18-24,Associate's degree,Minnesota,17469
2018,Female,18-24,Bachelor's degree,Minnesota,40319
2018,Female,18-24,Graduate or professional degree,Minnesota,2119
2018,Female,25-34,Less than 9th grade,Minnesota,6366
2018,Female,25-34,"9th to 12th grade, no diploma",Minnesota,12404
2018,Female,25-34,High school graduate (includes equivalency),Minnesota,52228
2018,Female,25-34,"Some college, no degree",Minnesota,67100
2018,Female,25-34,Associate's degree,Minnesota,53147
2018,Female,25-34,Bachelor's degree,Minnesota,126920
2018,Female,25-34,Graduate or professional degree,Minnesota,54130
2018,Female,35-44,Less than 9th grade,Minnesota,11243
2018,Female,35-44,"9th to 12th grade, no diploma",Minnesota,12287
2018,Female,35-44,High school graduate (includes equivalency),Minnesota,48182
2018,Female,35-44,"Some college, no degree",Minnesota,64376
2018,Female,35-44,Associate's degree,Minnesota,51755
2018,Female,35-44,Bachelor's degree,Minnesota,102584
2018,Female,35-44,Graduate or professional degree,Minnesota,62825
2018,Female,45-64,Less than 9th grade,Minnesota,15517
2018,Female,45-64,"9th to 12th grade, no diploma",Minnesota,18790
2018,Female,45-64,High school graduate (includes equivalency),Minnesota,164290
2018,Female,45-64,"Some college, no degree",Minnesota,161989
2018,Female,45-64,Associate's degree,Minnesota,98434
2018,Female,45-64,Bachelor's degree,Minnesota,172651
2018,Female,45-64,Graduate or professional degree,Minnesota,93818
2018,Female,65 and older,Less than 9th grade,Minnesota,19727
2018,Female,65 and older,"9th to 12th grade, no diploma",Minnesota,19221
2018,Female,65 and older,High school graduate (includes equivalency),Minnesota,179939
2018,Female,65 and older,"Some college, no degree",Minnesota,107148
2018,Female,65 and older,Associate's degree,Minnesota,35812
2018,Female,65 and older,Bachelor's degree,Minnesota,82342
2018,Female,65 and older,Graduate or professional degree,Minnesota,41391
2019,Male,18-24,Less than 9th grade,Minnesota,2369
2019,Male,18-24,"9th to 12th grade, no diploma",Minnesota,29481
2019,Male,18-24,High school graduate (includes equivalency),Minnesota,88218
2019,Male,18-24,"Some college, no degree",Minnesota,79692
2019,Male,18-24,Associate's degree,Minnesota,16749
2019,Male,18-24,Bachelor's degree,Minnesota,29178
2019,Male,18-24,Graduate or professional degree,Minnesota,958
2019,Male,25-34,Less than 9th grade,Minnesota,7584
2019,Male,25-34,"9th to 12th grade, no diploma",Minnesota,14281
2019,Male,25-34,High school graduate (includes equivalency),Minnesota,91558
2019,Male,25-34,"Some college, no degree",Minnesota,81883
2019,Male,25-34,Associate's degree,Minnesota,44777
2019,Male,25-34,Bachelor's degree,Minnesota,117697
2019,Male,25-34,Graduate or professional degree,Minnesota,31489
2019,Male,35-44,Less than 9th grade,Minnesota,8438
2019,Male,35-44,"9th to 12th grade, no diploma",Minnesota,15120
2019,Male,35-44,High school graduate (includes equivalency),Minnesota,86054
2019,Male,35-44,"Some college, no degree",Minnesota,66921
2019,Male,35-44,Associate's degree,Minnesota,48514
2019,Male,35-44,Bachelor's degree,Minnesota,94018
2019,Male,35-44,Graduate or professional degree,Minnesota,50968
2019,Male,45-64,Less than 9th grade,Minnesota,15956
2019,Male,45-64,"9th to 12th grade, no diploma",Minnesota,28748
2019,Male,45-64,High school graduate (includes equivalency),Minnesota,195007
2019,Male,45-64,"Some college, no degree",Minnesota,151382
2019,Male,45-64,Associate's degree,Minnesota,83453
2019,Male,45-64,Bachelor's degree,Minnesota,156685
2019,Male,45-64,Graduate or professional degree,Minnesota,82905
2019,Male,65 and older,Less than 9th grade,Minnesota,15573
2019,Male,65 and older,"9th to 12th grade, no diploma",Minnesota,20754
2019,Male,65 and older,High school graduate (includes equivalency),Minnesota,125359
2019,Male,65 and older,"Some college, no degree",Minnesota,86611
2019,Male,65 and older,Associate's degree,Minnesota,28925
2019,Male,65 and older,Bachelor's degree,Minnesota,83163
2019,Male,65 and older,Graduate or professional degree,Minnesota,59377
2019,Female,18-24,Less than 9th grade,Minnesota,2555
2019,Female,18-24,"9th to 12th grade, no diploma",Minnesota,24804
2019,Female,18-24,High school graduate (includes equivalency),Minnesota,56526
2019,Female,18-24,"Some college, no degree",Minnesota,96885
2019,Female,18-24,Associate's degree,Minnesota,18403
2019,Female,18-24,Bachelor's degree,Minnesota,40998
2019,Female,18-24,Graduate or professional degree,Minnesota,2935
2019,Female,25-34,Less than 9th grade,Minnesota,8629
2019,Female,25-34,"9th to 12th grade, no diploma",Minnesota,10392
2019,Female,25-34,High school graduate (includes equivalency),Minnesota,54210
2019,Female,25-34,"Some college, no degree",Minnesota,73324
2019,Female,25-34,Associate's degree,Minnesota,48870
2019,Female,25-34,Bachelor's degree,Minnesota,128474
2019,Female,25-34,Graduate or professional degree,Minnesota,52410
2019,Female,35-44,Less than 9th grade,Minnesota,8755
2019,Female,35-44,"9th to 12th grade, no diploma",Minnesota,10851
2019,Female,35-44,High school graduate (includes equivalency),Minnesota,50234
2019,Female,35-44,"Some college, no degree",Minnesota,62004
